Points_0,Points_1,Points_2
33.0877,4.25312,0
33.5932,3.3776,0
32.5822,3.3776,0
40.6699,1.62656,0
40.1645,2.50208,0
41.1754,2.50208,0
41.6809,1.62656,0
42.1864,2.50208,0
39.659,3.3776,0
39.1535,4.25312,0
40.1645,4.25312,0
38.648,5.12864,0
38.1425,6.00417,0
39.1535,6.00417,0
40.6699,5.12864,0
39.659,5.12864,0
40.1645,6.00417,0
41.1754,6.00417,0
42.6919,3.3776,0
43.1974,4.25312,0
42.1864,4.25312,0
42.6919,5.12864,0
41.6809,5.12864,0
42.1864,6.00417,0
43.1974,6.00417,0
43.7028,5.12864,0
44.2083,6.00417,0
41.1754,4.25312,0
41.6809,3.3776,0
40.6699,3.3776,0
37.6371,6.87969,0
37.1316,7.75521,0
38.1425,7.75521,0
36.6261,8.63073,0
36.1206,9.50625,0
37.1316,9.50625,0
38.648,8.63073,0
37.6371,8.63073,0
38.1425,9.50625,0
39.1535,9.50625,0
36,10,0
40,10,0
39,10,0
38,10,0
37,10,0
44.7138,6.87969,0
45.2193,7.75521,0
44.2083,7.75521,0
44.7138,8.63073,0
43.7028,8.63073,0
44.2083,9.50625,0
43.1974,9.50625,0
45.2193,9.50625,0
45.7248,8.63073,0
46.2302,9.50625,0
44,10,0
43,10,0
47,10,0
46,10,0
45,10,0
42.1864,9.50625,0
42,10,0
41.1754,9.50625,0
41,10,0
40.1645,9.50625,0
42.6919,8.63073,0
43.1974,7.75521,0
42.1864,7.75521,0
43.7028,6.87969,0
41.6809,6.87969,0
42.6919,6.87969,0
39.659,8.63073,0
39.1535,7.75521,0
40.1645,7.75521,0
39.659,6.87969,0
40.6699,6.87969,0
38.648,6.87969,0
41.1754,7.75521,0
40.6699,8.63073,0
41.6809,8.63073,0
18.9342,9.50625,0
19,10,0
18,10,0
17.9233,9.50625,0
17,10,0
16.9123,9.50625,0
16,10,0
15.9013,9.50625,0
15,10,0
18.4287,8.63073,0
19.4397,8.63073,0
18.9342,7.75521,0
19.9452,7.75521,0
17.9233,7.75521,0
19.4397,6.87969,0
20.4507,6.87969,0
19.9452,6.00417,0
20.9561,6.00417,0
18.9342,6.00417,0
17.4178,6.87969,0
18.4287,6.87969,0
17.9233,6.00417,0
16.9123,6.00417,0
14.3849,8.63073,0
15.3958,8.63073,0
14.8904,9.50625,0
14.8904,7.75521,0
15.9013,7.75521,0
13.8794,7.75521,0
15.3958,6.87969,0
16.4068,6.87969,0
15.9013,6.00417,0
14.8904,6.00417,0
13.3739,6.87969,0
14.3849,6.87969,0
13.8794,6.00417,0
12.8684,6.00417,0
16.9123,7.75521,0
16.4068,8.63073,0
17.4178,8.63073,0
20.4507,5.12864,0
21.4616,5.12864,0
20.9561,4.25312,0
21.9671,4.25312,0
19.9452,4.25312,0
